,precision,recall,f1-score,support
0,0.47289156626506024,0.7733990147783252,0.5869158878504673,203.0
1,0.5157894736842106,0.21875,0.3072100313479624,224.0
accuracy,0.48243559718969553,0.48243559718969553,0.48243559718969553,0.48243559718969553
macro avg,0.4943405199746354,0.4960745073891626,0.4470629595992148,427.0
weighted avg,0.4953953865505161,0.48243559718969553,0.4401849467343991,427.0
