Date,Open,High,Low,Close,Adj Close,Volume,slowk,slowd,K - D,upperband,middleband,lowerband,band width,macd,macdsignal,macdhist,rsi,obv
2010-01-04,170.05,174.25,169.51,173.08,135.58,9138979,,,,,,,,,,,,9138979.0
2010-01-05,173.0,176.26,172.57,176.14,137.97,11667885,,,,,,,,,,,,20806864.0
2010-01-06,175.38,175.38,173.76,174.26,136.5,7382071,,,,,,,,,,,,13424793.0
2010-01-07,174.32,178.75,173.95,177.67,139.17,8727377,,,,,,,,,,,,22152170.0
2010-01-08,176.33,177.43,173.95,174.31,136.54,7270763,,,,178.32882313387566,175.092,171.85517686612437,0.03697282724368498,,,,,14881407.0
2010-01-11,175.06,175.06,170.52,171.56,134.39,7714455,,,,178.8927367759699,174.788,170.68326322403013,0.046968176030046487,,,,,7166952.0
2010-01-12,170.01,170.48,167.03,167.82,131.46,10362621,,,,179.69312292471062,173.12400000000002,166.55487707528943,0.07588922303910027,,,,,-3195669.0
2010-01-13,168.01,169.67,166.12,169.07,132.44,11271202,,,,179.22456680293675,172.086,164.94743319706328,0.08296510817773364,,,,,8075533.0
2010-01-14,168.0,170.72,167.21,168.53,132.01,10526732,,,,175.02917008709784,170.258,165.48682991290218,0.05604635420476957,,,,,-2451199.0
2010-01-15,167.6,167.8,164.58,165.21,129.41,10900610,,,,172.53255052478463,168.43800000000002,164.3434494752154,0.04861789530610205,,,,,-13351809.0
2010-01-19,165.01,167.4,163.9,166.86,130.7,7705236,,,,170.22297779807718,167.49800000000002,164.77302220192286,0.032537436841958256,,,,,-5646573.0
2010-01-20,165.8,168.18,164.32,167.79,131.43,8893890,,,,170.21424613141633,167.49200000000002,164.7697538685837,0.03250598394450257,,,,,3247317.0
2010-01-21,169.29,171.0,156.77,160.87,126.01,51738223,21.99101915139345,17.778582309024724,4.212436842368724,171.30551849726325,165.85200000000003,160.39848150273681,0.06576367480962807,,,,,-48490906.0
2010-01-22,158.69,159.75,152.25,154.12,120.72,30175582,18.079518741281305,18.976174723207087,-0.8966559819257824,173.01448505399858,162.97000000000003,152.92551494600147,0.12326790273054618,,,,,-78666488.0
2010-01-25,156.13,158.3,154.5,154.98,121.4,17876989,14.201090009519248,18.09054263406467,-3.88945262454542,172.37848453663403,160.92400000000004,149.46951546336604,0.1423589338648554,,,,27.610094012864838,-60789499.0
2010-01-26,154.91,156.5,150.7,150.88,118.19,15989492,7.881619403237566,13.387409384679373,-5.505789981441807,169.68058231513254,157.728,145.77541768486748,0.15155942274209439,,,,24.89105445561534,-76778991.0
2010-01-27,150.75,152.93,148.27,151.5,118.67,19901885,9.885664757339114,10.65612472336531,-0.7704599660261948,161.57220247528787,154.47000000000003,147.3677975247122,0.09195575160597964,,,,26.076610336810052,-56877106.0
2010-01-28,154.23,155.2,149.95,153.29,120.07,16163117,12.394114676682122,10.053799612419601,2.340315064262521,156.05144669042315,152.954,149.85655330957687,0.04050167619576004,,,,29.53481722819568,-40713989.0
2010-01-29,154.44,154.88,147.81,148.72,116.49,18507263,13.406583246807813,11.895454226943016,1.5111290198647964,156.1380750462403,151.87400000000002,147.60992495375976,0.056152798322823716,,,,26.168906954086047,-59221252.0
2010-02-01,149.82,155.25,149.21,153.13,119.95,12980767,16.31679259578397,14.039163506424634,2.277629089359335,154.84749756991025,151.50400000000002,148.1605024300898,0.044137416436664724,,,,33.98706365800493,-46240485.0
2010-02-02,153.65,157.5,153.65,156.94,122.93,17301460,22.078482104355306,17.267285982315695,4.811196122039611,158.06686684565975,152.71600000000004,147.36513315434033,0.07007604763953623,,,,39.90753349163948,-28939025.0
2010-02-03,157.92,159.94,157.11,157.23,123.16,16789855,46.656679513217476,28.350651404452247,18.30602810876523,160.06655832432853,153.86200000000002,147.65744167567152,0.08065095116830018,,,,40.346088176750484,-12149170.0
2010-02-04,155.27,156.06,150.45,150.68,118.03,18894955,46.89648732568843,38.54388298108707,8.35260434460136,160.06643739285062,153.34000000000006,146.6135626071495,0.0877323254578134,,,,34.26379710136139,-31044125.0
2010-02-05,150.82,154.46,148.87,154.16,120.76,18759121,51.22286342401757,48.25867675430783,2.96418666970974,159.3241601280968,154.42800000000005,149.53183987190332,0.06341026404663322,,,,39.48368159765906,-12285004.0
2010-02-08,154.27,154.6,150.82,151.1,118.36,10260553,34.37757625721351,44.16564233563984,-9.788066078426326,159.57408645465603,154.02200000000005,148.46991354534407,0.07209471964597235,,,,36.72237928555211,-22545557.0
2010-02-09,152.7,153.53,149.65,152.49,119.45,14021791,39.351470184116515,41.65063662178253,-2.299166437666017,157.89887570636796,153.13200000000006,148.36512429363216,0.0622583876181059,,,,38.81560025315687,-8523766.0
2010-02-10,152.77,155.35,151.76,153.63,120.34,10558206,37.89502610607309,37.20802418246771,0.6870019236053793,155.13468690817558,152.41200000000006,149.68931309182454,0.03572798609263729,,,,40.55249422380451,2034440.0
2010-02-11,154.4,155.32,152.25,154.05,120.67,11166069,44.45179232409714,40.56609620476225,3.885696119334888,155.39738400097303,153.08600000000007,150.7746159990271,0.030197196359862604,,,,41.21460576994275,13200509.0
2010-02-12,152.37,154.5,151.14,153.93,120.58,10294003,46.82749090017239,43.05810311011421,3.7693877900581825,155.27184228833096,153.04000000000005,150.80815771166914,0.029166783694862898,,,,41.07384568193815,2906506.0
2010-02-16,155.15,157.74,154.6,157.4,123.29,11501092,56.51912074676309,49.26613465701087,7.25298608975222,157.59051971579058,154.30000000000004,151.0094802842095,0.04265093604394733,,,,46.73851500305181,14407598.0
2010-02-17,158.02,158.19,155.81,157.26,123.18,10071776,70.92856228991475,58.09172464561675,12.836837644298,158.65627218193836,155.25400000000005,151.85172781806173,0.043828464090307676,,,,46.54410687908192,4335822.0
