Date,Open,High,Low,Close,Adj Close,Volume,slowk,slowd,K - D,upperband,middleband,lowerband,band width,macd,macdsignal,macdhist,rsi,obv
2010-01-04,30.5,30.64,30.34,30.57,25.85,493728200,,,,,,,,,,,,493728200.0
2010-01-05,30.68,30.8,30.46,30.63,25.89,601904016,,,,,,,,,,,,1095632216.0
2010-01-06,30.63,30.75,30.11,30.14,25.48,552158376,,,,,,,,,,,,543473840.0
2010-01-07,30.24,30.29,29.86,30.08,25.43,477129296,,,,,,,,,,,,66344544.0
2010-01-08,30.06,30.29,29.87,30.28,25.6,447876324,,,,30.785600718133086,30.339999999999996,29.894399281866907,0.029373811346940653,,,,,514220868.0
2010-01-11,30.42,30.43,29.78,30.02,25.38,462229460,,,,30.6656145084817,30.23,29.7943854915183,0.028820013793033325,,,,,51991408.0
2010-01-12,29.9,29.97,29.49,29.67,25.09,594459096,,,,30.444428345468122,30.038,29.63157165453188,0.027060945833152786,,,,,-542467688.0
2010-01-13,29.73,30.13,29.16,30.09,25.44,605889340,,,,30.42627628601222,30.028,29.629723713987776,0.026526993873199872,,,,,63421652.0
2010-01-14,30.01,30.07,29.86,29.92,25.3,433153644,,,,30.398114411579737,29.996,29.59388558842026,0.026811202265617975,,,,,-369731992.0
2010-01-15,30.2,30.23,29.41,29.42,24.87,594336260,,,,30.31822262190227,29.824,29.329777378097734,0.033142611447308686,,,,,-964068252.0
2010-01-19,29.77,30.74,29.61,30.72,25.97,730006480,,,,30.845689287674777,29.964,29.08231071232522,0.05884990573186343,,,,,-234061772.0
2010-01-20,30.7,30.79,29.93,30.25,25.57,612151568,,,,30.928433851282207,30.079999999999995,29.231566148717782,0.05641182521823224,,,,,-846213340.0
2010-01-21,30.33,30.47,29.6,29.72,25.13,608154260,66.4467338040668,60.05406251539076,6.392671288676034,30.901285429347393,30.005999999999993,29.110714570652593,0.05967376053771912,,,,,-1454367600.0
2010-01-22,29.54,29.64,28.17,28.25,23.89,881767488,34.76014299317813,53.82874023551798,-19.068597242339848,31.350160898126855,29.67199999999999,27.993839101873125,0.11311410744991009,,,,,-2336135088.0
2010-01-25,28.98,29.24,28.6,29.01,24.53,1065699208,23.156777345884223,41.454551381043046,-18.297774035158824,31.34758925804678,29.589999999999993,27.832410741953204,0.11879616478856296,,,,38.92045454545454,-1270435880.0
2010-01-26,29.41,30.53,28.94,29.42,24.87,1867109944,27.608142493638677,28.50835427756701,-0.9002117839283308,30.679192351001575,29.329999999999995,27.980807648998415,0.09200084220944973,,,,42.52519021180342,596674064.0
2010-01-27,29.54,30.08,28.5,29.7,25.11,1722568120,46.05597964376591,32.273633161096264,13.782346482669645,30.317415144784363,29.21999999999999,28.12258485521562,0.07511397294896449,,,,44.916089322802165,2319242184.0
2010-01-28,29.33,29.36,28.39,28.47,24.07,1173501504,39.185750636132276,37.616624257845615,1.5691263782866613,30.067415144784363,28.96999999999999,27.87258485521562,0.07576217775522066,,,,37.53029158851183,1145740680.0
2010-01-29,28.76,28.89,27.18,27.44,23.2,1245951140,25.683181436918897,36.974970572272355,-11.291789135353458,30.407169784607508,28.807999999999993,27.208830215392478,0.11102261764839734,,,,32.683631376216134,-100210460.0
2010-02-01,27.51,28.0,27.33,27.82,23.52,749873684,12.127043200608975,25.665325091220044,-13.538281890611069,30.324719350780025,28.569999999999993,26.81528064921996,0.12283649637942126,,,,35.968984668603454,649663224.0
2010-02-02,27.99,28.05,27.63,27.98,23.66,698341252,16.270448312454363,18.02689098332741,-1.7564426708730458,29.84652676551149,28.281999999999993,26.717473234488494,0.11063763280613102,,,,37.3553149142181,1348004476.0
2010-02-03,27.89,28.6,27.77,28.46,24.06,615327076,26.606028031587226,18.33450651488352,8.271521516703707,28.820445166557338,28.033999999999992,27.247554833442646,0.05610652540182253,,,,41.45078117978681,1963331552.0
2010-02-04,28.12,28.34,27.37,27.44,23.2,757651048,23.283582089552255,22.053352811197943,1.2302292783543116,28.58888369676398,27.827999999999992,27.067116303236006,0.05468475612792777,,,,36.056362487335065,1205680504.0
2010-02-05,27.53,28.0,27.26,27.92,23.61,850305400,22.686567164179134,24.192059095106202,-1.505491930927068,28.578534949412525,27.92399999999999,27.269465050587453,0.046879741398978395,,,,40.012731296012774,2055985904.0
2010-02-08,27.95,28.27,27.71,27.73,23.45,478268476,16.27208783667871,20.74741236347003,-4.475324526791319,28.575758165312294,27.905999999999988,27.236241834687682,0.04800101521624785,,,,38.98450547045432,1577717428.0
2010-02-09,28.07,28.21,27.82,28.03,23.7,632884112,26.681965056086266,21.880206685648034,4.8017583704382325,28.5913487987722,27.915999999999986,27.240651201227774,0.04838435297121456,,,,41.539022036124294,2210601540.0
2010-02-10,27.97,28.09,27.75,27.87,23.57,370360872,32.7690733741451,25.241042088970023,7.528031285175079,28.20462513449568,27.797999999999984,27.39137486550429,0.029255711525699318,,,,40.5636089311282,1840240668.0
2010-02-11,27.83,28.54,27.72,28.38,24.0,550343612,54.307930811098196,37.91965641377652,16.388274397321673,28.424652482044664,27.985999999999983,27.547347517955302,0.031347994143120214,,,,44.99716561479292,2390584280.0
2010-02-12,28.31,28.81,27.93,28.63,24.2,655467624,70.77335450647155,52.61678623057162,18.15656827589993,28.791373198134398,28.127999999999986,27.464626801865574,0.047168173928783586,,,,47.08101282706857,3046051904.0
2010-02-16,28.88,29.1,28.79,29.06,24.57,543951044,89.93175776098457,71.67101435951811,18.260743401466456,29.245596148419526,28.393999999999984,27.542403851580442,0.05998423247302548,,,,50.55117603498795,3590002948.0
2010-02-17,29.18,29.19,28.69,28.94,24.46,436394840,91.08660528502246,83.93057251749286,7.156032767529595,29.427596148419795,28.575999999999983,27.72440385158017,0.05960219403834076,,,,49.57418311211241,3153608108.0
2010-02-18,28.8,29.13,28.7,28.99,24.51,422824444,91.50334159345185,90.84056821315296,0.6627733802988871,29.312718246216562,28.799999999999983,28.287281753783404,0.03560543376504024,,,,50.007730376088155,3576432552.0
2010-02-19,28.84,29.03,28.73,28.81,24.36,415733864,83.6694207160527,88.753122531509,-5.083701815456308,29.189736728110187,28.885999999999985,28.582263271889783,0.021030030333739687,,,,48.39460673303043,3160698688.0
2010-02-22,28.92,28.93,28.46,28.63,24.21,390824672,75.28879730952254,83.48718653967569,-8.198389230153154,29.189736728110187,28.885999999999985,28.582263271889783,0.021030030333739687,-0.35506473414654494,-0.6216867534674743,0.2666220193209293,46.769875933083,2769874016.0
2010-02-23,28.56,28.76,27.96,28.15,23.8,575312892,55.16026230311931,71.3728267762315,-16.212564473112195,29.311368092677466,28.703999999999986,28.096631907322507,0.04231940445077198,-0.36584199516789795,-0.570517801807559,0.204675806639661,42.65715059996618,2194561124.0
2010-02-24,28.36,28.78,28.26,28.67,24.24,460565504,51.927437641723294,60.79216575145503,-8.864728109731736,29.21000000000238,28.649999999999988,28.089999999997595,0.03909249563716534,-0.32863509716277406,-0.522141260878602,0.19350616371582796,47.992649195526496,2655126628.0
2010-02-25,28.2,28.98,28.13,28.86,24.4,665396284,55.895691609977256,54.32779718493993,1.5678944250373235,29.127682439641223,28.623999999999988,28.120317560358753,0.035193015626134375,-0.2805825691284092,-0.4738295225285635,0.1932469534001543,49.82952132916704,3320522912.0
2010-02-26,28.92,29.31,28.86,29.23,24.71,507460240,77.5031494079113,61.77542621987059,15.727723188040706,29.409130515669546,28.707999999999988,28.00686948433043,0.04884565387136394,-0.21022138540771707,-0.42110789510439417,0.2108865096966771,53.28941169511208,3827983152.0
2010-03-01,29.39,29.93,29.35,29.86,25.24,550092732,88.11009946373731,73.83631349387527,14.273785969862047,30.096950567611415,28.953999999999986,27.811049432388558,0.07894940717078328,-0.10244300630566272,-0.3573749173446479,0.25493191103898516,58.53312468021991,4378075884.0
2010-03-02,30.0,30.12,29.68,29.84,25.23,566544608,92.51927053957509,86.04417313707455,6.475097402500538,30.271910199969124,29.291999999999984,28.312089800030844,0.0669063361989035,-0.01842925622507252,-0.2895857851207328,0.2711565288956603,58.30933718791079,3811531276.0
2010-03-03,29.88,29.98,29.71,29.9,25.28,372238776,91.09951745315527,90.57629581882254,0.5232216343327281,30.37727587836458,29.537999999999982,28.698724121635387,0.05682685885060576,0.052389827242343756,-0.2211906626481175,0.27358048989046124,58.81802023022726,4183770052.0
2010-03-04,29.91,30.13,29.8,30.1,25.45,366039744,91.82312112419635,91.81396970564224,0.009151418554111501,30.37191466955909,29.785999999999984,29.200085330440878,0.03934161482301122,0.12323224503314378,-0.15230608111186522,0.275538326145009,60.54609253743076,4549809796.0
2010-03-05,30.71,31.39,30.66,31.28,26.45,899618412,95.07510975033466,92.66591610922876,2.409193641105901,31.295643578622254,30.19599999999998,29.096356421377706,0.07283372490543613,0.27146226187741007,-0.06755241251401016,0.33901467439142025,68.85101050349185,5449428208.0
2010-03-08,31.43,31.44,31.18,31.3,26.46,429888956,97.06030239514466,94.65284442322523,2.4074579719194276,31.811469773669117,30.48399999999998,29.156530226330844,0.08709288634491126,0.3860987450245972,0.02317781899371131,0.3629209260308859,68.97023253507557,5879317164.0
2010-03-09,31.16,32.14,31.13,31.86,26.94,920258640,95.19361734126625,95.77634316224852,-0.5827258209822759,32.402009247001516,30.887999999999977,29.373990752998438,0.09803219677554649,0.516186032447326,0.12177946168443425,0.3944065707628917,72.18092000952332,6799575804.0
2010-03-10,31.96,32.21,31.89,32.12,27.16,596216572,95.3670939813892,95.8736712392667,-0.5065772578774954,32.72377009595931,31.331999999999976,29.940229904040642,0.08884016953653358,0.6329645507135986,0.22401647949026715,0.40894807122333143,73.54935983377928,7395792376.0
2010-03-11,31.98,32.21,31.9,32.21,27.24,405698552,96.77696306497431,95.77922479587659,0.9977382690977237,32.54591918779951,31.75399999999998,30.96208081220045,0.0498783893556422,0.7244239077516887,0.32409796514255146,0.4003259426091373,74.02566061827936,7801490928.0
2010-03-12,32.44,32.53,32.25,32.37,27.37,416322480,97.23313258270043,96.45906320968798,0.7740693730124519,32.720908539145476,31.97199999999998,31.223091460854484,0.04684777550015619,0.8005880888185501,0.4193959898777512,0.381192098940799,74.89128937882218,8217813408.0
2010-03-15,32.21,32.21,31.46,31.98,27.04,493500364,91.62747293766324,95.21252286177933,-3.585049924116092,32.46249118466811,32.107999999999976,31.75350881533184,0.022081175075877334,0.8200262581579025,0.49952204353378143,0.3205042146241211,68.86672174530976,7724313044.0
2010-03-16,32.03,32.14,31.79,32.06,27.11,446906544,85.88876719895752,91.58312423977372,-5.6943570408162,32.41614921220434,32.14799999999998,31.87985078779563,0.016682170723177483,0.8322923309091586,0.5660761010088569,0.2662162299003017,69.41032186931565,8171219588.0
2010-03-17,32.11,32.35,31.9,32.02,27.07,450955988,78.66920313728829,85.3951477579697,-6.725944620681403,32.41572208814502,32.12799999999998,31.84027791185494,0.017910986562813657,0.8292268057893821,0.6187062419649619,0.2105205638244202,68.76382060241852,7720263600.0
2010-03-18,31.99,32.14,31.8,32.09,27.13,342108452,74.69419469419482,79.75072167681355,-5.056526982618735,32.38014488951916,32.10399999999998,31.827855110480797,0.017203145372488206,0.8229592085497934,0.6595568352819282,0.16340237326786522,69.30267153063504,8062372052.0
2010-03-19,32.17,32.18,31.6,31.75,26.84,556044412,61.861471861471976,71.74162323098504,-9.880151369513065,32.221660919485764,31.97999999999998,31.738339080514198,0.015113253251143415,0.7815477382504028,0.6839550158756231,0.09759272237477967,63.56671252381428,7506327640.0
2010-03-22,31.5,32.29,31.45,32.11,27.15,456418536,57.98941798941803,64.84836151502829,-6.8589435256102576,32.26908933845204,32.00599999999998,31.742910661547914,0.016440001153037793,0.7689142758990251,0.7009468678803035,0.06796740801872159,66.70863808588331,7962746176.0
2010-03-23,32.24,32.68,32.01,32.62,27.58,602428708,66.83959220544578,62.23016068544528,4.609431520000506,32.6821843670334,32.11799999999998,31.55381563296656,0.03513197378625195,0.790937468918326,0.718944988087908,0.07199248083041798,70.57943903534783,8565174884.0
2010-03-24,32.55,32.89,32.5,32.77,27.7,598280928,82.63324299909664,69.15408439798684,13.479158601109802,33.016801709404284,32.26799999999998,31.519198290595675,0.04641141126839624,0.8111443868802475,0.7373848678463759,0.07375951903387157,71.62444648196684,9163455812.0
2010-03-25,32.99,33.0,32.32,32.38,27.38,543266696,82.26287262872636,77.24523594442293,5.017636684303426,33.05533942715765,32.32599999999998,31.596660572842307,0.045124013311741075,0.7866210959742865,0.7472321134719581,0.03938898250232847,65.14541184975906,8620189116.0
2010-03-26,32.71,33.14,32.65,32.99,27.89,640872540,80.93030900723222,81.9421415450184,-1.0118325377861765,33.18491406924968,32.57399999999998,31.96308593075027,0.0375093061490578,0.8071043171052388,0.7592065541986142,0.04789776290662462,69.75399063484794,9261061656.0
2010-03-29,33.29,33.41,33.09,33.2,28.07,540743140,80.13665821358147,81.10994661651335,-0.9732884029318853,33.36154718856975,32.79199999999997,32.222452811430195,0.034736959537068735,0.8307067915855555,0.7735066016760024,0.05720018990955311,71.16739083666701,9801804796.0
2010-03-30,33.82,33.93,33.46,33.69,28.49,527309300,90.24418509530182,83.77038410537183,6.473800989929984,33.87930178060561,33.00599999999997,32.132698219394335,0.05291775923199645,0.8788203337956482,0.7945693480999315,0.08425098569571665,74.1972630377009,10329114096.0
2010-03-31,33.69,33.8,33.49,33.57,28.38,430658228,88.36405529953925,86.24829953614085,2.115755763398397,34.098832246445944,33.16599999999997,32.23316775355399,0.056252321440389365,0.8969284328628646,0.8150411650525181,0.0818872678103465,72.19636236171286,9898455868.0
