交易日期,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,隔日漲跌價,隔日收盤,隔日漲跌,slowk,slowd,K-D,upperband,middleband,lowerband,band_width,BIAS20,BIAS60,BIAS5,OBV,macd,macdsignal,macdhist,RSI
2013-05-03,2013-05-01,8139,8174,8119,8140,21,0.0026,82194,29.0,8169.0,1,93.35119829131547,91.65804122461311,1.693157066702355,8173.289875087115,7900.7,7628.110124912884,545.1797501742312,0.030288455453314288,0.03050584248705532,0.007949676812204341,-13745.0,66.30804289840034,34.52230658578165,31.785736312618695,68.7085907258725
2013-05-06,2013-05-01,8200,8209,8154,8169,29,0.0036,67723,4.0,8173.0,1,90.98708198325353,92.61666862724557,-1.6295866439920417,8208.976879051457,7912.45,7615.923120948542,593.0537581029148,0.032423585615075,0.03322013318408616,0.007274969173859433,53978.0,74.54668114517153,42.527181497659626,32.01949964751191,70.28806124492081
2013-05-07,2013-05-01,8180,8187,8150,8173,5,0.0006,61199,95.0,8268.0,1,87.04802587028438,90.46210204828446,-3.4140761780000872,8240.099195128907,7934.15,7628.200804871092,611.8983902578148,0.030104043911446138,0.03295522765332238,0.004054054054054054,115177.0,80.4710081915564,50.11594683643898,30.355061355117414,70.50917714265577
2013-05-08,2013-05-01,8188,8302,8186,8268,94,0.0115,130480,45.0,8313.0,1,87.71110986092317,88.58207257148702,-0.8709627105638447,8282.463481064853,7962.1,7641.736518935148,640.7269621297055,0.03841951244018533,0.04393280345452362,0.011499877660875948,245657.0,91.7738740177374,58.447532272698666,33.32634174503873,75.22494029247542
2013-05-09,2013-05-01,8301,8330,8290,8313,44,0.0053,83971,-1.0,8312.0,0,90.27435397971435,88.3444965703073,1.9298574094070489,8327.320400481925,7991.35,7655.379599518076,671.9408009638491,0.04024977006388152,0.04858851131461437,0.012225117502374356,329628.0,103.17328315200848,67.39268244856063,35.780600703447845,77.09346197958993
2013-05-10,2013-05-01,8294,8312,8280,8312,-1,-0.0001,65770,-52.0,8260.0,0,93.06603038841205,90.35049807634987,2.71553231206218,8369.587819759046,8016.05,7662.512180240954,707.0756395180924,0.036919679892216214,0.04746262512549303,0.007881653934764157,263858.0,110.84890816430561,76.08392759170962,34.76498057259599,76.95456589757028
2013-05-13,2013-05-01,8311,8314,8229,8260,-49,-0.0059,100298,14.0,8274.0,1,87.7732173451944,90.37120057110694,-2.597983225912543,8391.781967857361,8039.85,7687.918032142639,703.8639357147222,0.027382351660789644,0.04021056078179508,-0.0006291438803659594,163560.0,111.45119091565812,83.15738025649932,28.293810659158794,69.90195688859149
2013-05-14,2013-05-01,8280,8307,8244,8274,14,0.0017,98400,30.0,8304.0,1,81.91246920584557,87.58390564648401,-5.671436440638445,8407.278574935617,8065.4,7723.521425064382,683.757149871235,0.02586356535323733,0.04116725495007451,-0.00137591425881667,261960.0,111.76977494118273,88.879859193436,22.889915747746727,70.68102175886827
2013-05-15,2013-05-01,8299,8311,8260,8304,32,0.0039,61581,119.0,8423.0,1,79.62875245202696,83.10481300102231,-3.476060548995349,8422.100468986055,8091.6,7761.099531013945,661.0009379721096,0.02624944386771462,0.044057709837285124,0.0013747196295491927,323541.0,113.1388105743863,93.73164946962606,19.407161104760235,72.33361395141507
2013-05-16,2013-06-01,8325,8440,8320,8423,115,0.0138,122633,-20.0,8403.0,0,86.38119712521275,82.64080626102843,3.74039086418432,8456.146132222586,8122.3,7788.453867777415,667.6922644451706,0.03702153330953053,0.05793767257061402,0.013037307868087416,446174.0,122.41496315795848,99.46831220729254,22.94665095066594,77.70249244481629
2013-05-17,2013-06-01,8405,8423,8386,8403,-20,-0.0024,60464,-17.0,8386.0,0,89.68567848777035,85.23187602167002,4.453802466100328,8463.749413145044,8154.9,7846.050586854955,617.6988262900886,0.03042342640620981,0.05444559936588537,0.008424539170507,385710.0,126.69212016038091,104.91307379791022,21.779046362470694,75.06590848714325
2013-05-20,2013-06-01,8398,8401,8341,8386,-15,-0.0018,74722,4.0,8390.0,1,86.70648927504753,87.59112162934355,-0.8846323542960164,8485.57738089497,8177.0,7868.422619105029,617.1547617899414,0.025559496147731443,0.05151407494096253,0.0033500837520938024,310988.0,127.24325889264492,109.37911081685715,17.864148075787767,72.80455317602997
2013-05-21,2013-06-01,8380,8441,8357,8390,4,0.0005,102289,4.0,8394.0,1,80.64164433902498,85.67793736728096,-5.036293028255983,8502.739634571446,8198.85,7894.960365428555,607.7792691428913,0.023314245290498012,0.05104697557787752,0.0010499689781891938,413277.0,126.54408543339196,112.81210574016411,13.731979693227842,73.01057604424535
2013-05-22,2013-06-01,8435,8449,8392,8394,4,0.0005,82669,-181.0,8213.0,0,76.56118456891004,81.3031060609942,-4.74192149208416,8510.45905292771,8222.15,7933.840947072288,576.6181058554221,0.020900859264304395,0.05057635264521463,-0.0006191065815792846,495946.0,124.8732904390099,115.22434267993327,9.648947759076634,73.22898415630912
2013-05-23,2013-06-01,8337,8355,8210,8213,-183,-0.0218,140140,9.0,8222.0,1,50.73287545064605,69.31190145286037,-18.57902600221432,8501.503518150254,8233.25,7964.996481849747,536.5070363005061,-0.0024595390641605685,0.027451242040474222,-0.017254582874647095,355806.0,107.70245914211137,113.7199659723689,-6.017506830257531,52.51848364416981
2013-05-24,2013-06-01,8238,8248,8146,8222,9,0.0011,102660,34.0,8256.0,1,33.77924612544938,53.69110204833516,-19.911855922885778,8491.129574054265,8244.15,7997.170425945735,493.9591481085299,-0.002686753637427708,0.027974869502703715,-0.011897608460521573,458466.0,93.74009890503112,109.72399255890134,-15.983893653870226,53.22684179930892
2013-05-27,2013-06-01,8184,8268,8184,8256,36,0.0044,86472,2.0,8258.0,1,20.88045624646148,35.130859274185646,-14.250403027724165,8476.693779789106,8257.05,8037.4062202108935,439.2875595782125,-0.0001271640598033526,0.031428416752383045,-0.004701627486437613,544938.0,84.44491525597914,104.6681770983169,-20.223261842337763,55.90327114680779
2013-05-28,2013-06-01,8268,8283,8245,8258,1,0.0001,69512,54.0,8312.0,1,32.7832783278328,29.147660233247894,3.6356180945849026,8460.464915934182,8268.8,8077.135084065817,383.32983186836555,-0.0013061145510835034,0.030864775457978343,-0.0012819582516992434,614450.0,76.35957290693841,99.0064562600412,-22.646883353102794,56.0625396142035
2013-05-29,2013-06-01,8257,8345,8246,8312,55,0.0067,106194,-81.0,8231.0,0,42.6842684268427,32.116001000379,10.568267426463699,8455.045435713915,8279.5,8103.954564286086,351.09087142782937,0.003925357811462045,0.03679465137696694,0.007246552434502226,720644.0,73.46240072000364,93.89764515203369,-20.435244432030046,60.23831086448832
2013-05-30,2013-06-01,8304,8304,8204,8231,-84,-0.0101,121294,11.0,8242.0,1,39.933993399339954,38.467180051338495,1.466813348001459,8446.528760213363,8285.05,8123.571239786635,322.9575204267285,-0.0065237988907730525,0.025867924645881783,-0.0030039487390682035,599350.0,63.8938196536601,87.89688005235897,-24.003060398698864,52.2210935847264
2013-05-31,2013-06-01,8277,8342,8226,8242,12,0.0015,125054,-49.0,8193.0,0,38.173817381738196,40.26402640264029,-2.090209020902094,8438.925367584874,8290.15,8141.374632415126,297.5507351697479,-0.005808097561563981,0.026537356560439734,-0.002155015859948095,724404.0,56.54642628653892,81.62678929919495,-25.080363012656036,53.13332981513971
2013-06-03,2013-06-01,8100,8205,8092,8193,-49,-0.0059,107007,-31.0,8162.0,0,29.34243004132348,35.81674694080055,-6.474316899477067,8436.541287617372,8291.35,8146.158712382628,290.38257523474385,-0.011861759544585666,0.019913606732201564,-0.006571927442041023,617397.0,46.23668588453256,74.54876861626248,-28.312082731729916,48.675066237133954
2013-06-04,2013-06-01,8223,8228,8150,8162,-29,-0.0035,92115,-17.0,8145.0,0,28.863484808397146,32.126577410486284,-3.263092602089138,8437.851827598533,8290.8,8143.748172401465,294.1036551970683,-0.015535292131036726,0.015582551855431111,-0.008021390374331552,525282.0,35.15940567345024,66.67089602770002,-31.511490354249787,46.04290940134492
2013-06-05,2013-06-01,8130,8196,8124,8145,-17,-0.0021,90608,-42.0,8103.0,0,25.28530090305009,27.83040525092358,-2.5451043478734903,8444.714080917769,8284.65,8124.585919082231,320.12816183553787,-0.01685647553004649,0.01317941796605318,-0.006052766455958846,434674.0,24.7238225374349,58.281481329647,-33.5576587922121,44.61800009559147
2013-06-06,2013-06-01,8098,8129,8061,8103,-43,-0.0053,116805,-16.0,8087.0,0,20.784439525635275,24.97774174569418,-4.193302220058904,8451.964819404948,8274.15,8096.3351805950515,355.6296388098963,-0.02068490418955417,0.00782955329879787,-0.008079324274697026,317869.0,12.915615550102302,49.20830817373806,-36.29269262363576,41.22365487289394
2013-06-07,2013-06-01,8081,8110,8049,8087,-15,-0.0019,99118,60.0,8147.0,1,16.19172894433154,20.75382312433898,-4.562094180007438,8457.40028277618,8262.9,8068.399717223819,389.00056555236097,-0.02128792554672084,0.0056560640509356955,-0.006266896043253871,218751.0,2.2406315509078922,39.81477284917203,-37.57414129826414,39.97598285249699
2013-06-10,2013-06-01,8142,8185,8128,8147,60,0.0074,88305,-19.0,8128.0,0,20.24489278010407,19.073687083356972,1.1712056967470978,8458.2165395035,8257.25,8056.2834604965,401.93307900700074,-0.013351902873232614,0.01278778737299234,0.002238952858970551,307056.0,-1.362169377815917,31.57938440377444,-32.94155378159036,46.513516530744155
2013-06-11,2013-06-01,8135,8157,8107,8128,-19,-0.0023,78773,-195.0,7933.0,0,24.30280109460999,20.24647427301521,4.05632682159478,8458.41915839022,8249.95,8041.480841609782,416.93831678043716,-0.014781907769138082,0.010059587053640752,0.0007387343018960847,228283.0,-5.685022876072253,24.1265029478051,-29.811525823877354,44.84774096430026
