,precision,recall,f1-score,support
0,0.47794117647058826,0.32663316582914576,0.3880597014925373,199.0
1,0.5395189003436426,0.6885964912280702,0.605009633911368,228.0
accuracy,0.5199063231850117,0.5199063231850117,0.5199063231850117,0.5199063231850117
macro avg,0.5087300384071154,0.507614828528608,0.49653466770195265,427.0
weighted avg,0.5108210852365282,0.5199063231850117,0.5039018199737865,427.0
